,index,pose,keypoints
0,0,HOLD,"[0.0, 0.0, 0.0, -0.2, -0.05652173913043478, -7.557880714864001e-05, -0.3826086956521739, -0.16521739130434782, -0.0001224924892673461, -0.5173913043478261, -0.2565217391304348, -0.00016963411056157503, -0.6347826086956522, -0.32608695652173914, -0.00021464337568896435, -0.2956521739130435, -0.4826086956521739, -3.382231366379568e-05, -0.3652173913043478, -0.6826086956521739, -0.00010017459902754758, -0.39565217391304347, -0.8, -0.0001627090712442781, -0.41304347826086957, -0.9043478260869565, -0.00020803155230119638, -0.20434782608695654, -0.5260869565217391, -5.311510013825682e-05, -0.27391304347826084, -0.7565217391304347, -0.00010075367920752916, -0.30434782608695654, -0.8913043478260869, -0.00014386198538481355, -0.32608695652173914, -1.0, -0.00017712981576185327, -0.10434782608695652, -0.5304347826086957, -8.946633304919052e-05, -0.1608695652173913, -0.7521739130434782, -0.00013339400872916445, -0.1956521739130435, -0.8739130434782608, -0.00015750704347767722, -0.22608695652173913, -0.9782608695652174, -0.00017803485074449306, 0.008695652173913044, -0.4956521739130435, -0.00013743718776694272, -0.02608695652173913, -0.6608695652173913, -0.00017598364111850258, -0.05652173913043478, -0.7608695652173914, -0.00018745552682038698, -0.09565217391304348, -0.8478260869565217, -0.00019622142643712598]"
1,1,HOLD,"[0.0, 0.0, 0.0, -0.2, -0.05217391304347826, -7.48512138029434e-05, -0.3826086956521739, -0.16521739130434782, -0.00012143047013279082, -0.5130434782608696, -0.2565217391304348, -0.0001679401688140002, -0.6304347826086957, -0.32608695652173914, -0.00021267721240205803, -0.29130434782608694, -0.4826086956521739, -3.5797756540220054e-05, -0.3652173913043478, -0.6826086956521739, -0.00010079455656120504, -0.39565217391304347, -0.8, -0.00016190536049963533, -0.41304347826086957, -0.9043478260869565, -0.00020660327234264494, -0.2, -0.5260869565217391, -5.523558840722039e-05, -0.26956521739130435, -0.7521739130434782, -0.00010201212720297146, -0.30434782608695654, -0.8869565217391304, -0.00014459100484118706, -0.32608695652173914, -1.0, -0.00017780765296890877, -0.1, -0.5260869565217391, -9.129096848079886e-05, -0.1608695652173913, -0.7478260869565218, -0.00013510806782656584, -0.1956521739130435, -0.8739130434782608, -0.00015962081812564638, -0.22608695652173913, -0.9739130434782609, -0.00018079381327832714, 0.017391304347826087, -0.4956521739130435, -0.00013866850593086363, -0.021739130434782608, -0.6565217391304348, -0.00017799472732954891, -0.05217391304347826, -0.7565217391304347, -0.00019026435965347743, -0.09130434782608696, -0.8434782608695652, -0.0001997650322893022]"
2,2,HOLD,"[0.0, 0.0, 0.0, -0.20087336244541484, -0.048034934497816595, -7.488989909824356e-05, -0.388646288209607, -0.1615720524017467, -0.00012018965687454559, -0.519650655021834, -0.24890829694323144, -0.00016538330894791433, -0.6331877729257642, -0.3231441048034934, -0.00020856314879738637, -0.30131004366812225, -0.48034934497816595, -3.5096266791857274e-05, -0.3799126637554585, -0.6812227074235808, -0.00010071455497048859, -0.4104803493449782, -0.7991266375545851, -0.00016172292654591908, -0.4279475982532751, -0.9039301310043668, -0.00020582221359045254, -0.2096069868995633, -0.5240174672489083, -5.3978205687921946e-05, -0.2838427947598253, -0.7554585152838428, -0.00010091716033303092, -0.314410480349345, -0.8908296943231441, -0.0001432999832703508, -0.33624454148471616, -1.0, -0.00017587190445234193, -0.10480349344978165, -0.5283842794759825, -8.96114899123551e-05, -0.1703056768558952, -0.7510917030567685, -0.00013313759468168703, -0.2096069868995633, -0.8777292576419214, -0.00015771893898373118, -0.24017467248908297, -0.9781659388646288, -0.00017852619819146086, 0.008733624454148471, -0.4978165938864629, -0.00013662439319665285, -0.026200873362445413, -0.6593886462882096, -0.00017531846296219356, -0.0611353711790393, -0.7641921397379913, -0.0001873530214051964, -0.10043668122270742, -0.851528384279476, -0.00019637539795813632]"
3,3,HOLD,"[0.0, 0.0, 0.0, -0.20087336244541484, -0.05240174672489083, -7.627369524255888e-05, -0.388646288209607, -0.1615720524017467, -0.00012135313219284684, -0.519650655021834, -0.24890829694323144, -0.00016594662210472585, -0.6331877729257642, -0.3231441048034934, -0.00020866942251779926, -0.30131004366812225, -0.48034934497816595, -3.549117730600643e-05, -0.3799126637554585, -0.6812227074235808, -0.00010213971159770277, -0.4148471615720524, -0.7991266375545851, -0.00016441707321816434, -0.43231441048034935, -0.9039301310043668, -0.00020942975589447965, -0.2096069868995633, -0.5283842794759825, -5.360690207236496e-05, -0.2838427947598253, -0.7554585152838428, -0.00010164976271906052, -0.31877729257641924, -0.8908296943231441, -0.00014504204985522586, -0.3406113537117904, -1.0, -0.0001782451067914066, -0.10480349344978165, -0.5327510917030568, -8.872329820097571e-05, -0.1703056768558952, -0.7510917030567685, -0.00013323370112508444, -0.2096069868995633, -0.8777292576419214, -0.00015856786315263918, -0.2445414847161572, -0.982532751091703, -0.00017976278029841405, 0.008733624454148471, -0.5021834061135371, -0.0001353910590327961, -0.03056768558951965, -0.6681222707423581, -0.00017454063907627234, -0.06550218340611354, -0.7685589519650655, -0.00018663252469399908, -0.10043668122270742, -0.8558951965065502, -0.00019570516826450342]"
4,4,HOLD,"[0.0, 0.0, 0.0, -0.2, -0.04782608695652174, -7.525682971620625e-05, -0.3826086956521739, -0.1565217391304348, -0.00012063945801453034, -0.5173913043478261, -0.24782608695652175, -0.0001660763540743544, -0.6304347826086957, -0.3217391304347826, -0.0002095869673085012, -0.3, -0.4826086956521739, -3.362339026345442e-05, -0.3782608695652174, -0.6826086956521739, -0.00010046558571989704, -0.41304347826086957, -0.8, -0.00016293331045262775, -0.43043478260869567, -0.9043478260869565, -0.00020797083919554235, -0.20869565217391303, -0.5260869565217391, -5.2493520282797836e-05, -0.28695652173913044, -0.7521739130434782, -0.00010105823081563931, -0.3217391304347826, -0.8869565217391304, -0.00014489880758874378, -0.34347826086956523, -1.0, -0.00017805753555078156, -0.10869565217391304, -0.5304347826086957, -8.8296487643284e-05, -0.1782608695652174, -0.7478260869565218, -0.00013270780318548432, -0.21739130434782608, -0.8739130434782608, -0.00015740392685027808, -0.24782608695652175, -0.9782608695652174, -0.00017785504172768864, 0.004347826086956522, -0.5, -0.00013567288321088774, -0.034782608695652174, -0.6652173913043479, -0.00017453716861256374, -0.06956521739130435, -0.7652173913043478, -0.00018601831894945128, -0.10869565217391304, -0.8521739130434782, -0.00019432205581238024]"
5,5,HOLD,"[0.0, 0.0, 0.0, -0.20087336244541484, -0.048034934497816595, -7.582255355673346e-05, -0.388646288209607, -0.15283842794759825, -0.00012192405399554441, -0.5240174672489083, -0.2445414847161572, -0.000167596438407552, -0.6375545851528385, -0.314410480349345, -0.00021166392220958112, -0.31004366812227074, -0.4759825327510917, -3.950103008348108e-05, -0.3930131004366812, -0.6768558951965066, -0.00010725338090472627, -0.4279475982532751, -0.7991266375545851, -0.00016922609837051843, -0.44541484716157204, -0.8995633187772926, -0.00021392868723168402, -0.2183406113537118, -0.5240174672489083, -5.810471500909765e-05, -0.29694323144104806, -0.7510917030567685, -0.00010718989642704177, -0.3318777292576419, -0.8864628820960698, -0.00015115977436972258, -0.35807860262008734, -1.0, -0.00018472431460599993, -0.11353711790393013, -0.5283842794759825, -9.323252695634136e-05, -0.18340611353711792, -0.7510917030567685, -0.00013900332247603688, -0.22707423580786026, -0.8733624454148472, -0.00016573320762316494, -0.26200873362445415, -0.9781659388646288, -0.0001878926170680905, 0.004366812227074236, -0.5021834061135371, -0.00013949260438130692, -0.034934497816593885, -0.6637554585152838, -0.00018058060425615486, -0.07423580786026202, -0.7641921397379913, -0.00019410604339777402, -0.11353711790393013, -0.851528384279476, -0.00020395349854742875]"
6,6,HOLD,"[0.0, 0.0, 0.0, -0.20614035087719298, -0.043859649122807015, -7.773995488809517e-05, -0.39473684210526316, -0.14912280701754385, -0.00012558845761764074, -0.5307017543859649, -0.23684210526315788, -0.00017288511904374153, -0.6447368421052632, -0.31140350877192985, -0.0002185963590069886, -0.3201754385964912, -0.4692982456140351, -4.198620757048195e-05, -0.40789473684210525, -0.6710526315789473, -0.00011267571913757473, -0.4473684210526316, -0.7894736842105263, -0.00017668493148716524, -0.4692982456140351, -0.8947368421052632, -0.00022223866356235451, -0.2236842105263158, -0.5219298245614035, -6.0559835099919034e-05, -0.30701754385964913, -0.75, -0.00011189805661827454, -0.34649122807017546, -0.8859649122807017, -0.00015701242501464457, -0.37280701754385964, -1.0, -0.0001911638604358688, -0.12280701754385964, -0.5263157894736842, -9.588506782975763e-05, -0.19298245614035087, -0.75, -0.000143361588885707, -0.23684210526315788, -0.8771929824561403, -0.00016993032661635229, -0.2719298245614035, -0.9780701754385965, -0.00019154738560769245, -0.0043859649122807015, -0.5, -0.00014257378802153751, -0.04824561403508772, -0.6622807017543859, -0.00018449559080162197, -0.08333333333333333, -0.7675438596491229, -0.00019738187645277039, -0.12280701754385964, -0.8552631578947368, -0.00020652128799631536]"
7,7,HOLD,"[0.0, 0.0, 0.0, -0.20704845814977973, -0.039647577092511016, -7.72964531139055e-05, -0.4052863436123348, -0.14096916299559473, -0.00012402615819291694, -0.5418502202643172, -0.2290748898678414, -0.00016947356747718933, -0.6607929515418502, -0.29955947136563876, -0.0002136246413814789, -0.33480176211453744, -0.46255506607929514, -4.58626710208427e-05, -0.42731277533039647, -0.6651982378854625, -0.00011529598961138288, -0.47577092511013214, -0.7841409691629956, -0.000177687734119475, -0.4977973568281938, -0.8898678414096917, -0.0002218806888204239, -0.23788546255506607, -0.5198237885462555, -6.357288982589113e-05, -0.32158590308370044, -0.748898678414097, -0.00011297051406725161, -0.3656387665198238, -0.8854625550660793, -0.00015689372164645683, -0.3920704845814978, -1.0, -0.0001906247975445979, -0.13215859030837004, -0.5286343612334802, -9.745732214040467e-05, -0.2026431718061674, -0.748898678414097, -0.00014293704462554785, -0.24669603524229075, -0.8766519823788547, -0.00016975130674155573, -0.28193832599118945, -0.9779735682819384, -0.00019219513048767818, -0.013215859030837005, -0.5022026431718062, -0.0001423498929237929, -0.05286343612334802, -0.6651982378854625, -0.0001824378074694235, -0.09251101321585903, -0.7709251101321586, -0.00019466207680281336, -0.13215859030837004, -0.8546255506607929, -0.00020379666913531724]"
8,8,HOLD,"[0.0, 0.0, 0.0, -0.20704845814977973, -0.03524229074889868, -7.713491785833534e-05, -0.4052863436123348, -0.14096916299559473, -0.00012276712287567307, -0.5418502202643172, -0.2290748898678414, -0.00016682916726512052, -0.6651982378854625, -0.29955947136563876, -0.00021010145011129402, -0.33480176211453744, -0.46255506607929514, -4.669554211040471e-05, -0.44493392070484583, -0.6563876651982379, -0.00011565167891236173, -0.4933920704845815, -0.7709251101321586, -0.0001781078528905497, -0.5242290748898678, -0.8722466960352423, -0.0002225111798220536, -0.23788546255506607, -0.5198237885462555, -6.571579535304233e-05, -0.32599118942731276, -0.748898678414097, -0.00011522964619006924, -0.3744493392070485, -0.8898678414096917, -0.00016092056145429131, -0.4052863436123348, -1.0, -0.00019592248649526317, -0.1277533039647577, -0.5286343612334802, -0.00010058969841331683, -0.19823788546255505, -0.7533039647577092, -0.0001485749001722771, -0.2422907488986784, -0.8810572687224669, -0.00017845551930012203, -0.28193832599118945, -0.986784140969163, -0.00020275212520221828, -0.00881057268722467, -0.5022026431718062, -0.0001457996081328344, -0.04405286343612335, -0.6740088105726872, -0.00018833658103577935, -0.07488986784140969, -0.7797356828193832, -0.00020174414698450097, -0.1145374449339207, -0.8678414096916299, -0.00021171576445525484]"
9,9,HOLD,"[0.0, 0.0, 0.0, -0.2079646017699115, -0.035398230088495575, -7.773965412678713e-05, -0.41150442477876104, -0.13716814159292035, -0.00012258259708253423, -0.5530973451327433, -0.22566371681415928, -0.0001652732288429669, -0.6769911504424779, -0.2920353982300885, -0.00020687651265126155, -0.3495575221238938, -0.4646017699115044, -4.6648546131677904e-05, -0.46017699115044247, -0.6548672566371682, -0.00011428430689789293, -0.5132743362831859, -0.7699115044247787, -0.00017577205295198528, -0.5442477876106194, -0.8716814159292036, -0.00021980618758153867, -0.24778761061946902, -0.5221238938053098, -6.517540792194884e-05, -0.336283185840708, -0.7566371681415929, -0.00011385031057812211, -0.3805309734513274, -0.8938053097345132, -0.0001594998695432059, -0.41150442477876104, -1.0, -0.0001947932533472487, -0.13716814159292035, -0.5353982300884956, -9.963905336724714e-05, -0.20353982300884957, -0.7610619469026548, -0.00014899390804171302, -0.24336283185840707, -0.8893805309734514, -0.00018023076389885322, -0.2831858407079646, -0.995575221238938, -0.0002053813690383324, -0.017699115044247787, -0.5088495575221239, -0.00014415582737706145, -0.04424778761061947, -0.6814159292035398, -0.0001879584335662069, -0.06637168141592921, -0.7920353982300885, -0.0002020466408121349, -0.09734513274336283, -0.8893805309734514, -0.0002126161465353117]"
10,10,HOLD,"[0.0, 0.0, 0.0, -0.21145374449339208, -0.030837004405286344, -8.114565026283701e-05, -0.41409691629955947, -0.13215859030837004, -0.0001277471200185349, -0.5594713656387665, -0.22026431718061673, -0.00017126319603664146, -0.6828193832599119, -0.28634361233480177, -0.00021344549504562007, -0.3524229074889868, -0.46255506607929514, -5.149516627674497e-05, -0.4713656387665198, -0.6519823788546255, -0.00012059098505392386, -0.5242290748898678, -0.7665198237885462, -0.00018267851940226886, -0.5594713656387665, -0.8678414096916299, -0.00022732920889178472, -0.2511013215859031, -0.5242290748898678, -6.871918136219008e-05, -0.3436123348017621, -0.7533039647577092, -0.00011885276788285562, -0.3876651982378855, -0.8898678414096917, -0.00016526009585780105, -0.4185022026431718, -1.0, -0.00020100614353314806, -0.14096916299559473, -0.5374449339207048, -0.00010198487495952152, -0.20704845814977973, -0.7577092511013216, -0.0001534301329120814, -0.2511013215859031, -0.8854625550660793, -0.00018527074706603164, -0.2907488986784141, -0.9911894273127754, -0.0002106687916627163, -0.01762114537444934, -0.5110132158590308, -0.00014543306699824665, -0.04405286343612335, -0.6784140969162996, -0.00019112298119326957, -0.06607929515418502, -0.788546255506608, -0.00020570534287461537, -0.09251101321585903, -0.8810572687224669, -0.00021642649860000206]"
11,11,HOLD,"[0.0, 0.0, 0.0, -0.21052631578947367, -0.03508771929824561, -8.06707874221402e-05, -0.41228070175438597, -0.13596491228070176, -0.00012868110336427705, -0.5614035087719298, -0.2236842105263158, -0.0001746266526500026, -0.6842105263157895, -0.2894736842105263, -0.00022012859011884926, -0.35526315789473684, -0.45614035087719296, -5.188940698312643e-05, -0.47368421052631576, -0.6447368421052632, -0.00012542452157523107, -0.5350877192982456, -0.7587719298245614, -0.00019043928454253316, -0.5745614035087719, -0.8640350877192983, -0.00023707307304140327, -0.2543859649122807, -0.5175438596491229, -7.121695647570727e-05, -0.34210526315789475, -0.75, -0.00012768296247968105, -0.39473684210526316, -0.8903508771929824, -0.00017766180024268938, -0.4298245614035088, -1.0, -0.00021509069051592577, -0.14473684210526316, -0.5350877192982456, -0.00010670053446697119, -0.21052631578947367, -0.7543859649122807, -0.000164397577355165, -0.25877192982456143, -0.881578947368421, -0.00019988529728103704, -0.3026315789473684, -0.9868421052631579, -0.00022644879019507793, -0.021929824561403508, -0.5087719298245614, -0.00015211127584897194, -0.04824561403508772, -0.6798245614035088, -0.00020210490040022634, -0.07456140350877193, -0.7894736842105263, -0.00021935531461904527, -0.10087719298245613, -0.8859649122807017, -0.00023160715718997755]"
12,12,HOLD,"[0.0, 0.0, 0.0, -0.2079646017699115, -0.030973451327433628, -8.482522266430515e-05, -0.415929203539823, -0.12389380530973451, -0.00013364338004021896, -0.5663716814159292, -0.21238938053097345, -0.0001785776173336565, -0.6902654867256637, -0.27876106194690264, -0.00022233271782970385, -0.3672566371681416, -0.4557522123893805, -5.717797247247737e-05, -0.4911504424778761, -0.6371681415929203, -0.0001265277129312781, -0.5530973451327433, -0.7522123893805309, -0.0001882277016308704, -0.5929203539823009, -0.8539823008849557, -0.00023309038368012376, -0.2610619469026549, -0.5176991150442478, -7.339815016934681e-05, -0.35398230088495575, -0.7477876106194691, -0.00012486060431375292, -0.40707964601769914, -0.8849557522123894, -0.0001728220767897036, -0.4424778761061947, -1.0, -0.00021007847429442575, -0.1504424778761062, -0.5309734513274337, -0.00010574906562875182, -0.2168141592920354, -0.7522123893805309, -0.00015974965400993675, -0.26548672566371684, -0.8761061946902655, -0.00019685662781308562, -0.30973451327433627, -0.9823008849557522, -0.0002260346673712515, -0.02654867256637168, -0.5088495575221239, -0.00014809335253473255, -0.05309734513274336, -0.6814159292035398, -0.00019707379905061764, -0.0752212389380531, -0.7876106194690266, -0.00021606401030534514, -0.10619469026548672, -0.8893805309734514, -0.00023031138305181273]"
13,13,HOLD,"[0.0, 0.0, 0.0, -0.2088888888888889, -0.03111111111111111, -8.122679743678418e-05, -0.4222222222222222, -0.1288888888888889, -0.00012581979718649766, -0.5688888888888889, -0.21777777777777776, -0.00016687403606220464, -0.6933333333333334, -0.27555555555555555, -0.0002073796472964457, -0.3688888888888889, -0.4577777777777778, -5.380953421371891e-05, -0.5022222222222222, -0.64, -0.00012120404660878294, -0.5644444444444444, -0.7555555555555555, -0.00018093371212658997, -0.6088888888888889, -0.8577777777777778, -0.00022460651550204602, -0.26666666666666666, -0.52, -7.171623892430843e-05, -0.36, -0.7511111111111111, -0.00012238014559127602, -0.41333333333333333, -0.8888888888888888, -0.000169749182000866, -0.4488888888888889, -1.0, -0.00020634199665828923, -0.1511111111111111, -0.5377777777777778, -0.0001053705445943049, -0.21777777777777776, -0.76, -0.00015998468286637844, -0.27111111111111114, -0.8888888888888888, -0.00019683191001591797, -0.31555555555555553, -0.9911111111111112, -0.00022540798273528, -0.02666666666666667, -0.5155555555555555, -0.000148479181728539, -0.05333333333333334, -0.6888888888888889, -0.00019803723183119677, -0.07555555555555556, -0.8, -0.00021659591615376587, -0.10666666666666667, -0.8977777777777778, -0.00023040114661234334]"
