,index,pose,keypoints
0,0,HOLD,"[0.0, 0.0, 0.0, 0.20155038759689922, -0.06201550387596899, -8.959683764471772e-05, 0.375968992248062, -0.1821705426356589, -0.00012904134479494266, 0.5077519379844961, -0.2868217054263566, -0.0001656022390088483, 0.624031007751938, -0.32945736434108525, -0.00020154617894417763, 0.24806201550387597, -0.49612403100775193, -5.308832130119067e-05, 0.32945736434108525, -0.6821705426356589, -0.00010131365534530338, 0.3682170542635659, -0.7984496124031008, -0.00014860814330542018, 0.3875968992248062, -0.8992248062015504, -0.00018661076818215962, 0.13565891472868216, -0.5271317829457365, -6.192017600870157e-05, 0.17829457364341086, -0.751937984496124, -0.00010389550532833759, 0.19767441860465115, -0.8875968992248062, -0.0001505152175951487, 0.2054263565891473, -1.0, -0.00018750486673200985, 0.023255813953488372, -0.5155038759689923, -8.402929743945346e-05, 0.046511627906976744, -0.7325581395348837, -0.00013570750631917563, 0.06976744186046512, -0.8604651162790697, -0.00018395639777073772, 0.08914728682170543, -0.9651162790697675, -0.00021808934125217564, -0.09302325581395349, -0.4689922480620155, -0.00011570707246666939, -0.15503875968992248, -0.627906976744186, -0.00017432626244523938, -0.18992248062015504, -0.7364341085271318, -0.00020765695455352674, -0.21705426356589147, -0.8372093023255814, -0.00022834879073413975]"
1,1,HOLD,"[0.0, 0.0, 0.0, 0.203125, -0.05859375, -9.067967037601488e-05, 0.3828125, -0.1796875, -0.00013029117688467817, 0.51171875, -0.28515625, -0.00016668637543382214, 0.62890625, -0.33203125, -0.00020269357626723217, 0.25, -0.4921875, -5.634910483542921e-05, 0.33203125, -0.6796875, -0.00010584922709433453, 0.3671875, -0.796875, -0.00015342608820112513, 0.39453125, -0.8984375, -0.00019130961298408078, 0.13671875, -0.5234375, -6.470821243176328e-05, 0.1796875, -0.75, -0.00010769309299696328, 0.203125, -0.88671875, -0.00015457468542201536, 0.2109375, -1.0, -0.00019162092210656123, 0.0234375, -0.51171875, -8.636472919654192e-05, 0.046875, -0.7265625, -0.00013905036756234335, 0.0703125, -0.859375, -0.0001880857816843884, 0.08984375, -0.96484375, -0.00022267735765246766, -0.09375, -0.46484375, -0.00011758505568770783, -0.15234375, -0.625, -0.00017771698911139833, -0.1875, -0.734375, -0.00021211659621378498, -0.21484375, -0.8359375, -0.0002333820957404198]"
2,2,HOLD,"[0.0, 0.0, 0.0, 0.19921875, -0.05859375, -9.415061582451756e-05, 0.37890625, -0.1796875, -0.00013531099181030015, 0.515625, -0.28125, -0.0001720926601240791, 0.6328125, -0.328125, -0.00020800194111991743, 0.24609375, -0.4921875, -6.487946744648809e-05, 0.33203125, -0.68359375, -0.00011469742536185379, 0.3671875, -0.80078125, -0.00016153981492728064, 0.390625, -0.90234375, -0.000198992690330968, 0.13671875, -0.5234375, -7.088143398625846e-05, 0.1796875, -0.75, -0.00011305453596044401, 0.19921875, -0.890625, -0.00015829901609443198, 0.20703125, -1.0, -0.00019448639874219964, 0.0234375, -0.515625, -8.997262271925877e-05, 0.046875, -0.7265625, -0.00014123207880523125, 0.0703125, -0.85546875, -0.00018865794923961232, 0.09375, -0.9609375, -0.0002225421711603559, -0.09375, -0.46484375, -0.00011896613510664622, -0.15234375, -0.625, -0.00017717907836534152, -0.1875, -0.734375, -0.00021010221904482762, -0.21484375, -0.83203125, -0.000230705431805589]"
3,3,HOLD,"[0.0, 0.0, 0.0, 0.19921875, -0.05859375, -9.257692580966204e-05, 0.3828125, -0.18359375, -0.00013241349223924725, 0.51953125, -0.28515625, -0.00016855934372095316, 0.63671875, -0.328125, -0.00020385629467589705, 0.24609375, -0.49609375, -5.8496231205462657e-05, 0.328125, -0.6875, -0.00010754233370924293, 0.36328125, -0.8046875, -0.00015494131220428198, 0.390625, -0.91015625, -0.00019318862031603157, 0.1328125, -0.52734375, -6.526001961126848e-05, 0.1796875, -0.75, -0.00010663532738497405, 0.203125, -0.88671875, -0.00015237265178391635, 0.21484375, -1.0, -0.00018891837534418254, 0.0234375, -0.515625, -8.541349087998196e-05, 0.046875, -0.73046875, -0.00013649108440538793, 0.0703125, -0.859375, -0.00018440192651858478, 0.08984375, -0.96484375, -0.00021848831819759607, -0.09375, -0.46875, -0.00011557794495409279, -0.15234375, -0.625, -0.00017399753996094613, -0.1875, -0.734375, -0.00020738309685064404, -0.2109375, -0.8359375, -0.00022828850923495292]"
4,4,HOLD,"[0.0, 0.0, 0.0, 0.1953125, -0.0625, -9.093010760585774e-05, 0.37890625, -0.1875, -0.00012955513978119004, 0.515625, -0.2890625, -0.00016478803320529867, 0.62890625, -0.33203125, -0.0001991809027709346, 0.2421875, -0.49609375, -5.597616348274048e-05, 0.3203125, -0.6875, -0.00010430072018385861, 0.35546875, -0.8046875, -0.00015156338361299593, 0.3828125, -0.91015625, -0.00018955961297939528, 0.12890625, -0.53125, -6.345235181248743e-05, 0.17578125, -0.75, -0.0001043245198412146, 0.19921875, -0.890625, -0.00015018146098333407, 0.2109375, -1.0, -0.00018671410237180996, 0.015625, -0.51953125, -8.434049107342023e-05, 0.0390625, -0.734375, -0.00013499585350251753, 0.06640625, -0.86328125, -0.00018284732380158264, 0.08984375, -0.96484375, -0.00021663177779152054, -0.1015625, -0.47265625, -0.0001151776438087504, -0.15625, -0.6328125, -0.00017268901013045568, -0.19140625, -0.7421875, -0.00020550829379095692, -0.21484375, -0.84375, -0.0002260829847978707]"
5,5,HOLD,"[0.0, 0.0, 0.0, 0.1953125, -0.05859375, -9.191132781416478e-05, 0.37890625, -0.19140625, -0.00013079485293565618, 0.515625, -0.2890625, -0.0001661802504313581, 0.6328125, -0.328125, -0.0002006069240960695, 0.2421875, -0.49609375, -5.6423175607056564e-05, 0.3203125, -0.6875, -0.0001042895361533791, 0.35546875, -0.80859375, -0.00015121740366885739, 0.37890625, -0.9140625, -0.00018903656533075797, 0.12890625, -0.52734375, -6.33505602818385e-05, 0.17578125, -0.75, -0.00010350952439330818, 0.1953125, -0.890625, -0.00014852714744484352, 0.20703125, -1.0, -0.00018444754610391634, 0.01953125, -0.51953125, -8.374938411725985e-05, 0.04296875, -0.734375, -0.0001334115201243602, 0.06640625, -0.86328125, -0.0001803611500290625, 0.0859375, -0.96875, -0.00021369113315450328, -0.1015625, -0.47265625, -0.00011427311770240145, -0.15625, -0.6328125, -0.00017054388959514277, -0.19140625, -0.7421875, -0.00020237275535328614, -0.21484375, -0.83984375, -0.00022235332076525616]"
6,6,HOLD,"[0.0, 0.0, 0.0, 0.1953125, -0.0625, -9.304102960516758e-05, 0.375, -0.1875, -0.00013357227536392458, 0.515625, -0.2890625, -0.00017075010501788057, 0.62890625, -0.328125, -0.00020688690520831443, 0.2421875, -0.49609375, -5.619037793724857e-05, 0.3203125, -0.6875, -0.00010510394159712888, 0.35546875, -0.80859375, -0.00015263914057062067, 0.3828125, -0.91015625, -0.00019097664145295568, 0.12890625, -0.52734375, -6.324383676759027e-05, 0.17578125, -0.75, -0.00010534073763768248, 0.1953125, -0.890625, -0.00015183794122197725, 0.20703125, -1.0, -0.00018859223738321163, 0.015625, -0.51953125, -8.401834012250475e-05, 0.0390625, -0.73046875, -0.00013608411055532343, 0.06640625, -0.86328125, -0.00018444483967972047, 0.0859375, -0.96875, -0.00021825847025969125, -0.1015625, -0.47265625, -0.00011492184231531866, -0.15625, -0.6328125, -0.00017314663083300985, -0.19140625, -0.7421875, -0.00020612671315678455, -0.21484375, -0.83984375, -0.00022667340627879895]"
7,7,HOLD,"[0.0, 0.0, 0.0, 0.19921875, -0.05859375, -9.206368616521132e-05, 0.37890625, -0.1875, -0.0001310236379454821, 0.515625, -0.29296875, -0.00016660387103417662, 0.62890625, -0.33203125, -0.00020120995526173857, 0.24609375, -0.49609375, -5.589588311938343e-05, 0.32421875, -0.6875, -0.00010387284185942036, 0.359375, -0.80859375, -0.00015090104483039823, 0.3828125, -0.9140625, -0.00018908492114366737, 0.12890625, -0.52734375, -6.286937189958763e-05, 0.17578125, -0.75, -0.00010440120007348952, 0.1953125, -0.88671875, -0.00015076476614428458, 0.20703125, -1.0, -0.0001875017455263972, 0.01953125, -0.515625, -8.325190486591083e-05, 0.0390625, -0.73046875, -0.00013438005174482015, 0.0625, -0.859375, -0.00018238459364017245, 0.0859375, -0.96484375, -0.00021618602971518186, -0.09765625, -0.46875, -0.00011372135980725062, -0.15625, -0.6328125, -0.0001709734619312897, -0.1875, -0.73828125, -0.00020355082000111935, -0.2109375, -0.83984375, -0.00022398131608003524]"
8,8,HOLD,"[0.0, 0.0, 0.0, 0.203125, -0.0625, -9.373407706336767e-05, 0.3828125, -0.19140625, -0.0001349631671928586, 0.51953125, -0.29296875, -0.00017299315700258777, 0.6328125, -0.33203125, -0.00021031321707598583, 0.24609375, -0.5, -5.8701730858978785e-05, 0.3203125, -0.69140625, -0.00010983128927366526, 0.35546875, -0.80859375, -0.00015901233168735818, 0.3828125, -0.9140625, -0.00019859402132171855, 0.12890625, -0.53125, -6.618686497861237e-05, 0.171875, -0.75390625, -0.00011077489366473348, 0.19140625, -0.890625, -0.00015883440541986094, 0.20703125, -1.0, -0.00019657523412208722, 0.015625, -0.51953125, -8.733722247600273e-05, 0.03515625, -0.734375, -0.0001413025344391139, 0.0625, -0.86328125, -0.00019058918737757669, 0.0859375, -0.96875, -0.00022504906851283923, -0.1015625, -0.46875, -0.0001186867554224813, -0.15625, -0.62890625, -0.00017834804352789835, -0.19140625, -0.73828125, -0.0002122137845163019, -0.21484375, -0.83984375, -0.00023338906216852084]"
9,9,HOLD,"[0.0, 0.0, 0.0, 0.19844357976653695, -0.0622568093385214, -9.478254733232076e-05, 0.377431906614786, -0.19066147859922178, -0.0001360645692041213, 0.5097276264591439, -0.29571984435797666, -0.0001736445584750626, 0.6264591439688716, -0.3346303501945525, -0.0002102760772397811, 0.24124513618677043, -0.4980544747081712, -5.847463235978353e-05, 0.3151750972762646, -0.6926070038910506, -0.00010849680494555106, 0.35019455252918286, -0.8093385214007782, -0.00015702969126745752, 0.3735408560311284, -0.914396887159533, -0.00019620137967105836, 0.1245136186770428, -0.5291828793774319, -6.48574353177061e-05, 0.16731517509727625, -0.7509727626459144, -0.00010852473012749654, 0.1867704280155642, -0.8910505836575876, -0.0001559830586371056, 0.19844357976653695, -1.0, -0.00019328227408282818, 0.011673151750972763, -0.5175097276264592, -8.496044258280817e-05, 0.0311284046692607, -0.7315175097276264, -0.00013874270504168367, 0.058365758754863814, -0.8599221789883269, -0.00018775594363034333, 0.07782101167315175, -0.9649805447470817, -0.00022181254753888215, -0.10505836575875487, -0.4669260700389105, -0.00011521831579095062, -0.16342412451361868, -0.6264591439688716, -0.00017491309954580032, -0.19455252918287938, -0.7354085603112841, -0.000208729197553047, -0.2178988326848249, -0.8365758754863813, -0.00022973403671917614]"
